	token	constituent_of_head	nature
0	The	NOT_HEAD	OTH
1	Cabinet	['The', 'Cabinet']	OTH
2	hopes	['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	VERB
3	to	NOT_HEAD	OTH
4	be	['to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	VERB
5	able	['able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',']	OTH
6	to	NOT_HEAD	OTH
7	abolish	['to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',']	VERB
8	most	['most', 'of', 'the', 'remaining', 'corona', 'measures']	OTH
9	of	['of', 'the', 'remaining', 'corona', 'measures']	PREP
10	the	NOT_HEAD	OTH
11	remaining	NOT_HEAD	MOD
12	corona	NOT_HEAD	MOD
13	measures	['the', 'remaining', 'corona', 'measures']	OTH
14	by	['by', 'the', 'beginning', 'of', 'March']	PREP
15	the	NOT_HEAD	OTH
16	beginning	['the', 'beginning', 'of', 'March']	OTH
17	of	['of', 'March']	PREP
18	March	NOT_HEAD	OTH
19	,	NOT_HEAD	OTH
20	including	['including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	PREP
21	the	NOT_HEAD	OTH
22	use	['the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	OTH
23	of	['of', 'face', 'masks']	PREP
24	face	NOT_HEAD	MOD
25	masks	['face', 'masks']	OTH
26	and	NOT_HEAD	OTH
27	the	NOT_HEAD	OTH
28	1.5	NOT_HEAD	MOD
29	meter	['1.5', 'meter']	OTH
30	social	NOT_HEAD	MOD
31	distancing	['social', 'distancing']	MOD
32	rule	['the', '1.5', 'meter', 'social', 'distancing', 'rule']	OTH
33	,	NOT_HEAD	OTH
34	sources	NOT_HEAD	OTH
35	said	['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule', ',', 'sources', 'said', '.']	VERB
36	.	NOT_HEAD	OTH
37	Those	['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']	OTH
38	wanting	['wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']	MOD
39	to	NOT_HEAD	OTH
40	attend	['to', 'attend', 'large', 'festivals', 'and', 'events']	VERB
41	large	NOT_HEAD	MOD
42	festivals	['large', 'festivals', 'and', 'events']	OTH
43	and	NOT_HEAD	OTH
44	events	NOT_HEAD	OTH
45	will	NOT_HEAD	OTH
46	be	NOT_HEAD	OTH
47	required	['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events', 'will', 'be', 'required', 'to', 'show', 'a', 'negative', 'coronavirus', 'test', '.']	VERB
48	to	NOT_HEAD	OTH
49	show	['to', 'show', 'a', 'negative', 'coronavirus', 'test']	MOD
50	a	NOT_HEAD	OTH
51	negative	NOT_HEAD	MOD
52	coronavirus	NOT_HEAD	MOD
53	test	['a', 'negative', 'coronavirus', 'test']	OTH
54	.	NOT_HEAD	OTH
55	The	NOT_HEAD	OTH
56	Cabinet	['The', 'Cabinet']	OTH
57	first	NOT_HEAD	TUN
58	wants	['The', 'Cabinet', 'first', 'wants', 'to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')', 'whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action', '.']	VERB
59	to	NOT_HEAD	OTH
60	hear	['to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']	VERB
61	from	['from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']	PREP
62	the	NOT_HEAD	OTH
63	Outbreak	NOT_HEAD	MOD
64	Management	['Outbreak', 'Management']	MOD
65	Team	['the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']	OTH
66	(	NOT_HEAD	OTH
67	OMT	['(', 'OMT']	MOD
68	)	NOT_HEAD	OTH
69	whether	NOT_HEAD	OTH
70	such	NOT_HEAD	MOD
71	extensive	NOT_HEAD	MOD
72	relaxation	['such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands']	OTH
73	of	['of', 'the', 'restrictions', 'in', 'the', 'Netherlands']	PREP
74	the	NOT_HEAD	OTH
75	restrictions	['the', 'restrictions', 'in', 'the', 'Netherlands']	OTH
76	in	['in', 'the', 'Netherlands']	PREP
77	the	NOT_HEAD	OTH
78	Netherlands	['the', 'Netherlands']	OTH
79	is	['whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action']	MOD
80	a	NOT_HEAD	OTH
81	responsible	NOT_HEAD	MOD
82	course	['a', 'responsible', 'course', 'of', 'action']	OTH
83	of	['of', 'action']	PREP
84	action	NOT_HEAD	OTH
85	.	NOT_HEAD	OTH
86	Coronavirus	NOT_HEAD	MOD
87	infections	['Coronavirus', 'infections', 'in', 'the', 'country']	OTH
88	in	['in', 'the', 'country']	PREP
89	the	NOT_HEAD	OTH
90	country	['the', 'country']	OTH
91	are	['Coronavirus', 'infections', 'in', 'the', 'country', 'are', 'currently', 'at', 'an', 'all', '-', 'time', 'high', ',', 'and', 'Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']	VERB
92	currently	NOT_HEAD	TUN
93	at	['at', 'an', 'all', '-', 'time', 'high']	PREP
94	an	NOT_HEAD	OTH
95	all	NOT_HEAD	OTH
96	-	NOT_HEAD	OTH
97	time	['all', '-', 'time']	OTH
98	high	['an', 'all', '-', 'time', 'high']	OTH
99	,	NOT_HEAD	OTH
100	and	NOT_HEAD	OTH
101	Covid-19	NOT_HEAD	MOD
102	hospitalizations	['Covid-19', 'hospitalizations']	OTH
103	have	NOT_HEAD	OTH
104	been	NOT_HEAD	OTH
105	rising	['Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']	OTH
106	for	['for', 'five', 'weeks']	PREP
107	five	NOT_HEAD	MOD
108	weeks	['five', 'weeks']	OTH
109	,	NOT_HEAD	OTH
110	but	NOT_HEAD	OTH
111	intensive	NOT_HEAD	MOD
112	care	NOT_HEAD	MOD
113	admissions	['intensive', 'care', 'admissions']	OTH
114	have	NOT_HEAD	OTH
115	remained	['intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']	OTH
116	near	['near', 'a', '100', '-', 'day', 'low']	PREP
117	a	NOT_HEAD	OTH
118	100	NOT_HEAD	MOD
119	-	NOT_HEAD	OTH
120	day	['100', '-', 'day']	MOD
121	low	['a', '100', '-', 'day', 'low']	OTH
122	.	NOT_HEAD	OTH
123	From	['From', 'February', '25']	PREP
124	February	['February', '25']	OTH
125	25	NOT_HEAD	MOD
126	,	NOT_HEAD	OTH
127	nightlife	NOT_HEAD	MOD
128	locations	['nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating']	OTH
129	,	NOT_HEAD	OTH
130	festivals	['festivals', 'and', 'events']	OTH
131	and	NOT_HEAD	OTH
132	events	NOT_HEAD	OTH
133	without	['without', 'fixed', 'seating']	PREP
134	fixed	NOT_HEAD	MOD
135	seating	['fixed', 'seating']	OTH
136	may	NOT_HEAD	OTH
137	already	NOT_HEAD	TUN
138	be	['From', 'February', '25', ',', 'nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating', 'may', 'already', 'be', 'open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection', '.']	VERB
139	open	['open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	OTH
140	to	['to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	PREP
141	people	['people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	OTH
142	who	NOT_HEAD	OTH
143	test	['who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	MOD
144	negative	NOT_HEAD	TUN
145	for	['for', 'the', 'coronavirus', 'infection']	PREP
146	the	NOT_HEAD	OTH
147	coronavirus	NOT_HEAD	MOD
148	infection	['the', 'coronavirus', 'infection']	OTH
149	.	NOT_HEAD	OTH
150	These	NOT_HEAD	OTH
151	changes	['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands']	OTH
152	to	NOT_HEAD	OTH
153	policy	['to', 'policy', 'in', 'the', 'Netherlands']	MOD
154	in	['in', 'the', 'Netherlands']	PREP
155	the	NOT_HEAD	OTH
156	Netherlands	['the', 'Netherlands']	OTH
157	are	NOT_HEAD	OTH
158	expected	['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands', 'are', 'expected', 'to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday', '.']	VERB
159	to	NOT_HEAD	OTH
160	be	NOT_HEAD	OTH
161	announced	['to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday']	VERB
162	at	['at', 'a', 'press', 'conference']	PREP
163	a	NOT_HEAD	OTH
164	press	NOT_HEAD	MOD
165	conference	['a', 'press', 'conference']	OTH
166	on	['on', 'Tuesday']	PREP
167	Tuesday	NOT_HEAD	OTH
168	.	NOT_HEAD	OTH
169	This	NOT_HEAD	OTH
170	week	['This', 'week']	OTH
171	,	NOT_HEAD	OTH
172	Kuipers	NOT_HEAD	OTH
173	said	"""['This', 'week', ',', 'Kuipers', 'said', 'the', 'government', """"'s"""", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council', '.']"""	VERB
174	the	NOT_HEAD	OTH
175	government	"""['the', 'government', """"'s""""]"""	MOD
176	's	NOT_HEAD	OTH
177	new	NOT_HEAD	MOD
178	focus	"""['the', 'government', """"'s"""", 'new', 'focus']"""	OTH
179	is	"""['the', 'government', """"'s"""", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']"""	VERB
180	to	NOT_HEAD	OTH
181	keep	['to', 'keep', 'society', 'open']	VERB
182	society	NOT_HEAD	OTH
183	open	NOT_HEAD	OTH
184	,	NOT_HEAD	OTH
185	which	NOT_HEAD	OTH
186	was	NOT_HEAD	OTH
187	celebrated	['which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']	MOD
188	by	['by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']	OTH
189	the	NOT_HEAD	OTH
190	mayors	['the', 'mayors', 'on', 'the', 'Security', 'Council']	OTH
191	on	['on', 'the', 'Security', 'Council']	PREP
192	the	NOT_HEAD	OTH
193	Security	NOT_HEAD	MOD
194	Council	['the', 'Security', 'Council']	OTH
195	.	NOT_HEAD	OTH
196	If	NOT_HEAD	OTH
197	the	NOT_HEAD	OTH
198	experts	['the', 'experts']	OTH
199	think	"""['If', 'the', 'experts', 'think', 'it', """"'s"""", 'justified']"""	MOD
200	it	NOT_HEAD	OTH
201	's	"""['it', """"'s""""]"""	OTH
202	justified	"""['it', """"'s"""", 'justified']"""	VERB
203	,	NOT_HEAD	OTH
204	further	NOT_HEAD	MOD
205	steps	['further', 'steps']	OTH
206	will	NOT_HEAD	OTH
207	probably	NOT_HEAD	TUN
208	be	NOT_HEAD	OTH
209	taken	"""['If', 'the', 'experts', 'think', 'it', """"'s"""", 'justified', ',', 'further', 'steps', 'will', 'probably', 'be', 'taken', 'at', 'the', 'beginning', 'of', 'March', '.']"""	VERB
210	at	['at', 'the', 'beginning', 'of', 'March']	PREP
211	the	NOT_HEAD	OTH
212	beginning	['the', 'beginning', 'of', 'March']	OTH
213	of	['of', 'March']	PREP
214	March	NOT_HEAD	OTH
215	.	NOT_HEAD	OTH
216	These	NOT_HEAD	OTH
217	relaxations	['These', 'relaxations']	OTH
218	may	NOT_HEAD	OTH
219	be	NOT_HEAD	OTH
220	announced	['These', 'relaxations', 'may', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'March', '8', ',', 'but', 'that', 'is', 'not', 'yet', 'certain', '.']	VERB
221	at	['at', 'a', 'press', 'conference']	PREP
222	a	NOT_HEAD	OTH
223	press	NOT_HEAD	MOD
224	conference	['a', 'press', 'conference']	OTH
225	on	['on', 'March', '8']	PREP
226	March	['March', '8']	OTH
227	8	NOT_HEAD	MOD
228	,	NOT_HEAD	OTH
229	but	NOT_HEAD	OTH
230	that	NOT_HEAD	OTH
231	is	['that', 'is', 'not', 'yet', 'certain', '.']	OTH
232	not	NOT_HEAD	INV
233	yet	NOT_HEAD	TUN
234	certain	NOT_HEAD	OTH
235	.	NOT_HEAD	OTH
236	Earlier	NOT_HEAD	TUN
237	in	['in', 'the', 'day']	PREP
238	the	NOT_HEAD	OTH
239	day	['the', 'day']	OTH
240	it	NOT_HEAD	OTH
241	was	NOT_HEAD	OTH
242	emerged	['Earlier', 'in', 'the', 'day', 'it', 'was', 'emerged', 'that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week', '.']	VERB
243	that	NOT_HEAD	OTH
244	the	NOT_HEAD	OTH
245	Cabinet	['the', 'Cabinet']	OTH
246	wants	['that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']	VERB
247	to	NOT_HEAD	OTH
248	extend	['to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']	VERB
249	the	NOT_HEAD	OTH
250	opening	NOT_HEAD	MOD
251	hours	['the', 'opening', 'hours']	OTH
252	for	['for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']	PREP
253	the	NOT_HEAD	OTH
254	hospitality	NOT_HEAD	MOD
255	industry	['the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']	OTH
256	,	NOT_HEAD	OTH
257	theaters	['theaters', 'and', 'cinemas']	OTH
258	and	NOT_HEAD	OTH
259	cinemas	NOT_HEAD	OTH
260	next	NOT_HEAD	MOD
261	week	['next', 'week']	OTH
262	.	NOT_HEAD	OTH
263	The	NOT_HEAD	OTH
264	exact	NOT_HEAD	MOD
265	time	['The', 'exact', 'time', 'of', 'closure']	OTH
266	of	['of', 'closure']	PREP
267	closure	NOT_HEAD	OTH
268	is	NOT_HEAD	OTH
269	still	NOT_HEAD	TUN
270	being	NOT_HEAD	OTH
271	discussed	['The', 'exact', 'time', 'of', 'closure', 'is', 'still', 'being', 'discussed', '.']	VERB
272	.	NOT_HEAD	OTH
273	These	NOT_HEAD	OTH
274	businesses	['These', 'businesses']	OTH
275	currently	NOT_HEAD	TUN
276	have	['These', 'businesses', 'currently', 'have', 'to', 'close', 'at', '10', 'p.m.']	VERB
277	to	NOT_HEAD	OTH
278	close	['to', 'close', 'at', '10']	VERB
279	at	['at', '10']	PREP
280	10	NOT_HEAD	OTH
281	p.m.	NOT_HEAD	OTH
282	Customers	NOT_HEAD	OTH
283	may	NOT_HEAD	OTH
284	no	NOT_HEAD	INV
285	longer	['no', 'longer']	TUN
286	have	['Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']	VERB
287	to	NOT_HEAD	OTH
288	remain	['to', 'remain', 'in', 'assigned', 'seats']	VERB
289	in	['in', 'assigned', 'seats']	PREP
290	assigned	NOT_HEAD	MOD
291	seats	['assigned', 'seats']	OTH
292	,	NOT_HEAD	OTH
293	and	NOT_HEAD	OTH
294	social	NOT_HEAD	MOD
295	distancing	NOT_HEAD	MOD
296	requirements	['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and']	OTH
297	in	['in', 'the', 'hospitality', 'and']	PREP
298	the	NOT_HEAD	OTH
299	hospitality	['the', 'hospitality', 'and']	OTH
300	and	NOT_HEAD	OTH
301	cultural	NOT_HEAD	MOD
302	sector	['cultural', 'sector']	OTH
303	could	NOT_HEAD	OTH
304	disappear	['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']	OTH
305	,	NOT_HEAD	OTH
306	allowing	['allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']	MOD
307	them	NOT_HEAD	OTH
308	to	NOT_HEAD	OTH
309	increase	['them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']	VERB
