token	dependency	head	dependent	constituent
disappear	conj	have	['requirements', 'could', ',', 'allowing']	['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
,	punct	disappear	[]	[',']
allowing	advcl	disappear	['increase']	['allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
them	nsubj	increase	[]	['them']
to	aux	increase	[]	['to']
increase	ccomp	allowing	['them', 'to', 'attendance']	['them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
attendance	dobj	increase	['to']	['attendance', 'to', 'maximum', 'capacity']
to	prep	attendance	['capacity']	['to', 'maximum', 'capacity']
maximum	amod	capacity	[]	['maximum']
capacity	pobj	to	['maximum']	['maximum', 'capacity']
.	punct	have	[]	['.']
Furthermore	advmod	disappear	[]	['Furthermore']
,	punct	disappear	[]	[',']
according	prep	disappear	['to']	['according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet']
to	prep	according	['sources']	['to', 'sources', 'close', 'to', 'the', 'Cabinet']
sources	pobj	to	['close']	['sources', 'close', 'to', 'the', 'Cabinet']
close	amod	sources	['to']	['close', 'to', 'the', 'Cabinet']
to	prep	close	['Cabinet']	['to', 'the', 'Cabinet']
the	det	Cabinet	[]	['the']
Cabinet	pobj	to	['the']	['the', 'Cabinet']
,	punct	disappear	[]	[',']
the	det	advice	[]	['the']
advice	nsubj	disappear	['the', 'work']	['the', 'advice', 'to', 'work', 'from', 'home']
to	aux	work	[]	['to']
work	relcl	advice	['to', 'from']	['to', 'work', 'from', 'home']
from	prep	work	['home']	['from', 'home']
home	pobj	from	[]	['home']
will	aux	disappear	[]	['will']
also	advmod	disappear	[]	['also']
disappear	ROOT	disappear	['Furthermore', ',', 'according', ',', 'advice', 'will', 'also', '.']	['Furthermore', ',', 'according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet', ',', 'the', 'advice', 'to', 'work', 'from', 'home', 'will', 'also', 'disappear', '.']
.	punct	disappear	[]	['.']
The	det	advice	[]	['The']
current	amod	advice	[]	['current']
advice	nsubj	been	['The', 'current']	['The', 'current', 'advice']
has	aux	been	[]	['has']
been	ROOT	been	['advice', 'has', 'in', 'since', '.']	['The', 'current', 'advice', 'has', 'been', 'in', 'effect', 'since', 'November', '26', '.']
in	prep	been	['effect']	['in', 'effect']
effect	pobj	in	[]	['effect']
since	prep	been	['November']	['since', 'November', '26']
November	pobj	since	['26']	['November', '26']
26	nummod	November	[]	['26']
.	punct	been	[]	['.']
It	nsubjpass	announced	[]	['It']
will	aux	announced	[]	['will']
also	advmod	announced	[]	['also']
probably	advmod	announced	[]	['probably']
be	auxpass	announced	[]	['be']
announced	ROOT	announced	['It', 'will', 'also', 'probably', 'be', 'week', 'lifted', '.']	['It', 'will', 'also', 'probably', 'be', 'announced', 'next', 'week', 'that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted', '.']
next	amod	week	[]	['next']
week	npadvmod	announced	['next']	['next', 'week']
that	mark	lifted	[]	['that']
the	det	restriction	[]	['the']
restriction	nsubjpass	lifted	['the', 'receive']	['the', 'restriction', 'to', 'receive', 'a', 'maximum']
to	aux	receive	[]	['to']
receive	acl	restriction	['to', 'maximum']	['to', 'receive', 'a', 'maximum']
a	det	maximum	[]	['a']
maximum	dobj	receive	['a']	['a', 'maximum']
of	quantmod	four	[]	['of']
four	nummod	people	['of']	['of', 'four']
people	nsubjpass	lifted	['four', 'at']	['of', 'four', 'people', 'at', 'home']
at	prep	people	['home']	['at', 'home']
home	pobj	at	[]	['home']
will	aux	lifted	[]	['will']
be	auxpass	lifted	[]	['be']
lifted	ccomp	announced	['that', 'restriction', 'people', 'will', 'be']	['that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted']
.	punct	announced	[]	['.']
The	det	Cabinet	[]	['The']
Cabinet	nsubj	is	['The']	['The', 'Cabinet']
is	ROOT	is	['Cabinet', 'optimistic', '.']	"['The', 'Cabinet', 'is', '""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions', '.']"
""""	punct	optimistic	[]	"['""']"
cautiously	advmod	optimistic	[]	['cautiously']
optimistic	acomp	is	"['""', 'cautiously', '""', 'about']"	"['""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions']"
""""	punct	optimistic	[]	"['""']"
about	prep	optimistic	['admissions']	['about', 'hospital', 'admissions']
hospital	compound	admissions	[]	['hospital']
admissions	pobj	about	['hospital']	['hospital', 'admissions']
.	punct	is	[]	['.']
These	nsubj	increased	[]	['These']
have	aux	increased	[]	['have']
increased	ROOT	increased	['These', 'have', 'over', ',', 'but', 'at', '.']	['These', 'have', 'increased', 'over', 'the', 'last', 'five', 'weeks', ',', 'but', 'at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus', '.']
over	prep	increased	['weeks']	['over', 'the', 'last', 'five', 'weeks']
the	det	weeks	[]	['the']
last	amod	weeks	[]	['last']
five	nummod	weeks	[]	['five']
weeks	pobj	over	['the', 'last', 'five']	['the', 'last', 'five', 'weeks']
,	punct	increased	[]	[',']
but	cc	increased	[]	['but']
at	conj	increased	['rate']	['at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
a	det	rate	[]	['a']
much	advmod	lower	[]	['much']
lower	amod	rate	['much']	['much', 'lower']
rate	pobj	at	['a', 'lower', 'compared']	['a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
compared	prep	rate	['to']	['compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
to	prep	compared	['numbers']	['to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
the	det	numbers	[]	['the']
enormous	amod	numbers	[]	['enormous']
numbers	pobj	to	['the', 'enormous', 'of']	['the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
of	prep	numbers	['infections']	['of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
positive	amod	infections	[]	['positive']
infections	pobj	of	['positive', 'linked']	['positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
linked	acl	infections	['to']	['linked', 'to', 'the', 'Omicron', 'virus']
to	prep	linked	['virus']	['to', 'the', 'Omicron', 'virus']
the	det	virus	[]	['the']
Omicron	compound	virus	[]	['Omicron']
virus	pobj	to	['the', 'Omicron']	['the', 'Omicron', 'virus']
.	punct	increased	[]	['.']
""""	punct	is	[]	"['""']"
The	det	number	[]	['The']
number	nsubj	is	['The', 'of']	['The', 'number', 'of', 'infections']
of	prep	number	['infections']	['of', 'infections']
infections	pobj	of	[]	['infections']
is	ccomp	said	"['""', 'number', 'high', ',', 'but', 'is']"	"['""', 'The', 'number', 'of', 'infections', 'is', 'very', 'high', ',', 'but', 'fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad']"
very	advmod	high	[]	['very']
high	acomp	is	['very']	['very', 'high']
,	punct	is	[]	[',']
but	cc	is	[]	['but']
fortunately	advmod	is	[]	['fortunately']
the	det	pressure	[]	['the']
pressure	nsubj	is	['the', 'on']	['the', 'pressure', 'on', 'healthcare']
on	prep	pressure	['healthcare']	['on', 'healthcare']
healthcare	pobj	on	[]	['healthcare']
is	conj	is	['fortunately', 'pressure', 'not', 'bad']	['fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad']
not	neg	is	[]	['not']
too	advmod	bad	[]	['too']
bad	acomp	is	['too']	['too', 'bad']
,	punct	said	[]	[',']
""""	punct	said	[]	"['""']"
said	ROOT	said	"['is', ',', '""', 'Kuipers', 'on', '.']"	"['""', 'The', 'number', 'of', 'infections', 'is', 'very', 'high', ',', 'but', 'fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad', ',', '""', 'said', 'Health', 'Minister', 'Ernst', 'Kuipers', 'on', 'Wednesday', '.']"
Health	compound	Minister	[]	['Health']
Minister	compound	Kuipers	['Health']	['Health', 'Minister']
Ernst	compound	Kuipers	[]	['Ernst']
Kuipers	nsubj	said	['Minister', 'Ernst']	['Health', 'Minister', 'Ernst', 'Kuipers']
on	prep	said	['Wednesday']	['on', 'Wednesday']
Wednesday	pobj	on	[]	['Wednesday']
.	punct	said	[]	['.']
Cabinet	compound	members	[]	['Cabinet']
members	nsubj	want	['Cabinet']	['Cabinet', 'members']
did	aux	want	[]	['did']
not	neg	want	[]	['not']
want	ROOT	want	['members', 'did', 'not', 'anticipate', '.']	['Cabinet', 'members', 'did', 'not', 'want', 'to', 'publicly', 'anticipate', 'any', 'relaxations', '.']
to	aux	anticipate	[]	['to']
publicly	advmod	anticipate	[]	['publicly']
anticipate	xcomp	want	['to', 'publicly', 'relaxations']	['to', 'publicly', 'anticipate', 'any', 'relaxations']
any	det	relaxations	[]	['any']
relaxations	dobj	anticipate	['any']	['any', 'relaxations']
.	punct	want	[]	['.']
Prime	compound	Minister	[]	['Prime']
Minister	compound	Rutte	['Prime']	['Prime', 'Minister']
Mark	compound	Rutte	[]	['Mark']
Rutte	nsubj	said	['Minister', 'Mark']	['Prime', 'Minister', 'Mark', 'Rutte']
said	ROOT	said	['Rutte', 'on', 'is', '.']	"['Prime', 'Minister', 'Mark', 'Rutte', 'said', 'on', 'Wednesday', 'that', 'the', 'chance', 'is', '""', 'really', 'high', '""', 'that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible', '.']"
on	prep	said	['Wednesday']	['on', 'Wednesday']
Wednesday	pobj	on	[]	['Wednesday']
that	mark	is	[]	['that']
the	det	chance	[]	['the']
chance	nsubj	is	['the']	['the', 'chance']
is	ccomp	said	"['that', 'chance', '""', 'high', 'be']"	"['that', 'the', 'chance', 'is', '""', 'really', 'high', '""', 'that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible']"
""""	punct	is	[]	"['""']"
really	advmod	high	[]	['really']
high	acomp	is	"['really', '""']"	"['really', 'high', '""']"
""""	punct	high	[]	"['""']"
that	nsubj	be	[]	['that']
loosening	csubj	be	['up', 'restrictions']	['loosening', 'up', 'restrictions']
up	prt	loosening	[]	['up']
restrictions	dobj	loosening	[]	['restrictions']
will	aux	be	[]	['will']
be	ccomp	is	['that', 'loosening', 'will', 'possible']	['that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible']
possible	acomp	be	[]	['possible']
.	punct	said	[]	['.']
Cabinet	compound	ministers	[]	['Cabinet']
ministers	nsubj	met	['Cabinet']	['Cabinet', 'ministers']
met	ROOT	met	['ministers', 'for', 'on', ',', 'and', 'meet']	['Cabinet', 'ministers', 'met', 'for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy', 'on', 'Wednesday', 'morning', ',', 'and', 'the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']
for	prep	met	['meeting']	['for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']
an	det	meeting	[]	['an']
extra	amod	meeting	[]	['extra']
meeting	pobj	for	['an', 'extra', 'about']	['an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']
about	prep	meeting	['policy']	['about', 'the', 'coronavirus', 'policy']
the	det	policy	[]	['the']
coronavirus	compound	policy	[]	['coronavirus']
policy	pobj	about	['the', 'coronavirus']	['the', 'coronavirus', 'policy']
on	prep	met	['morning']	['on', 'Wednesday', 'morning']
Wednesday	compound	morning	[]	['Wednesday']
morning	pobj	on	['Wednesday']	['Wednesday', 'morning']
,	punct	met	[]	[',']
and	cc	met	[]	['and']
the	det	OMT	[]	['the']
OMT	nsubj	meet	['the']	['the', 'OMT']
will	aux	meet	[]	['will']
meet	conj	met	['OMT', 'will', 'again', 'discuss', '.']	['the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']
again	advmod	meet	[]	['again']
to	aux	discuss	[]	['to']
discuss	advcl	meet	['to', 'issue', 'on']	['to', 'discuss', 'the', 'issue', 'on', 'Friday']
the	det	issue	[]	['the']
issue	dobj	discuss	['the']	['the', 'issue']
on	prep	discuss	['Friday']	['on', 'Friday']
Friday	pobj	on	[]	['Friday']
.	punct	meet	[]	['.']
Rutte	nsubj	said	[]	['Rutte']
said	ccomp	said	['Rutte', 'inform']	"['Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"
the	det	Cabinet	[]	['the']
Cabinet	nsubj	inform	['the']	['the', 'Cabinet']
could	aux	inform	[]	['could']
inform	ccomp	said	['Cabinet', 'could', 'Kamer', 'about', ',', 'sort']	"['the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"
the	det	Kamer	[]	['the']
Tweede	compound	Kamer	[]	['Tweede']
Kamer	dobj	inform	['the', 'Tweede']	['the', 'Tweede', 'Kamer']
about	prep	inform	['considering']	"['about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend']"
what	dobj	considering	[]	['what']
it	nsubj	considering	[]	['it']
's	aux	considering	[]	"[""'s""]"
considering	pcomp	about	"['what', 'it', ""'s"", 'before']"	"['what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend']"
even	advmod	before	[]	['even']
before	prep	considering	['even', 'weekend']	['even', 'before', 'the', 'weekend']
the	det	weekend	[]	['the']
weekend	pobj	before	['the']	['the', 'weekend']
,	punct	inform	[]	[',']
""""	punct	sort	[]	"['""']"
a	det	sort	[]	['a']
sort	dobj	inform	"['""', 'a', 'of']"	"['""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"
of	prep	sort	"[""'"", 'be']"	"['of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"
'	punct	of	[]	"[""'""]"
what	nsubj	be	[]	['what']
could	aux	be	[]	['could']
be	pcomp	of	['what', 'could', 'package']	"['what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"
'	punct	package	[]	"[""'""]"
package	attr	be	"[""'"", '""', 'of']"	"[""'"", 'package', '""', 'of', 'measures']"
""""	punct	package	[]	"['""']"
of	prep	package	['measures']	['of', 'measures']
measures	pobj	of	[]	['measures']
,	punct	said	[]	[',']
he	nsubj	said	[]	['he']
said	ROOT	said	['said', ',', 'he', '.']	"['Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures', ',', 'he', 'said', '.']"
.	punct	said	[]	['.']
In	prep	have	['addition']	['In', 'addition']
addition	pobj	In	[]	['addition']
,	punct	have	[]	[',']
the	det	Cabinet	[]	['the']
Cabinet	nsubj	have	['the']	['the', 'Cabinet']
will	aux	have	[]	['will']
have	ROOT	have	['In', ',', 'Cabinet', 'will', 'make', ',', 'sees', '.']	['In', 'addition', ',', 'the', 'Cabinet', 'will', 'have', 'to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal', '.']
to	aux	make	[]	['to']
make	xcomp	have	['to', 'clear']	['to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']
it	nsubj	clear	[]	['it']
clear	ccomp	make	['it', 'implemented']	['it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']
that	mark	implemented	[]	['that']
all	predet	relaxations	[]	['all']
these	det	relaxations	[]	['these']
relaxations	nsubjpass	implemented	['all', 'these']	['all', 'these', 'relaxations']
may	aux	implemented	[]	['may']
not	neg	implemented	[]	['not']
be	auxpass	implemented	[]	['be']
implemented	advcl	clear	['that', 'relaxations', 'may', 'not', 'be']	['that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']
,	punct	have	[]	[',']
particularly	advmod	sees	[]	['particularly']
if	mark	sees	[]	['if']
the	det	OMT	[]	['the']
OMT	nsubj	sees	['the']	['the', 'OMT']
sees	advcl	have	['particularly', 'if', 'OMT', 'problem']	['particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']
a	det	problem	[]	['a']
problem	dobj	sees	['a', 'with']	['a', 'problem', 'with', 'the', 'proposal']
with	prep	problem	['proposal']	['with', 'the', 'proposal']
the	det	proposal	[]	['the']
proposal	pobj	with	['the']	['the', 'proposal']
.	punct	have	[]	['.']
Anything	nsubj	taken	[]	['Anything']
taken	csubjpass	made	['Anything', 'off', 'table', 'in']	['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim']
off	prt	taken	[]	['off']
the	det	table	[]	['the']
table	dobj	taken	['the']	['the', 'table']
in	prep	taken	['interim']	['in', 'the', 'interim']
the	det	interim	[]	['the']
interim	pobj	in	['the']	['the', 'interim']
will	aux	made	[]	['will']
be	auxpass	made	[]	['be']
made	ROOT	made	['taken', 'will', 'be', 'clear', 'on', '.']	['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim', 'will', 'be', 'made', 'clear', 'on', 'Tuesday', '.']
clear	oprd	made	[]	['clear']
on	prep	made	['Tuesday']	['on', 'Tuesday']
Tuesday	pobj	on	[]	['Tuesday']
.	punct	made	[]	['.']
Far	advmod	reaching	[]	['Far']
-	punct	reaching	[]	['-']
reaching	amod	elimination	['Far', '-']	['Far', '-', 'reaching']
elimination	nsubjpass	announced	['reaching', 'of']	['Far', '-', 'reaching', 'elimination', 'of', 'restrictions']
of	prep	elimination	['restrictions']	['of', 'restrictions']
restrictions	pobj	of	[]	['restrictions']
will	aux	announced	[]	['will']
also	advmod	announced	[]	['also']
be	auxpass	announced	[]	['be']
announced	ROOT	announced	['elimination', 'will', 'also', 'be', 'in', '.']	['Far', '-', 'reaching', 'elimination', 'of', 'restrictions', 'will', 'also', 'be', 'announced', 'in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days', '.']
in	prep	announced	['countries']	['in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days']
other	amod	countries	[]	['other']
European	amod	countries	[]	['European']
countries	pobj	in	['other', 'European', 'in']	['other', 'European', 'countries', 'in', 'the', 'coming', 'days']
in	prep	countries	['days']	['in', 'the', 'coming', 'days']
the	det	days	[]	['the']
coming	amod	days	[]	['coming']
days	pobj	in	['the', 'coming']	['the', 'coming', 'days']
.	punct	announced	[]	['.']
For	prep	expects	['example']	['For', 'example']
example	pobj	For	[]	['example']
,	punct	expects	[]	[',']
the	det	minister	[]	['the']
Belgian	amod	minister	[]	['Belgian']
minister	nsubj	expects	['the', 'Belgian', 'handling', ',', 'Vandenbroucke', ',']	['the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',']
handling	acl	minister	['issues']	['handling', 'coronavirus', 'issues']
coronavirus	compound	issues	[]	['coronavirus']
issues	dobj	handling	['coronavirus']	['coronavirus', 'issues']
,	punct	minister	[]	[',']
Frank	compound	Vandenbroucke	[]	['Frank']
Vandenbroucke	appos	minister	['Frank']	['Frank', 'Vandenbroucke']
,	punct	minister	[]	[',']
expects	ROOT	expects	['For', ',', 'minister', 'withdrawn', '.']	['For', 'example', ',', 'the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',', 'expects', 'that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday', '.']
that	mark	withdrawn	[]	['that']
almost	advmod	all	[]	['almost']
all	nummod	measures	['almost']	['almost', 'all']
coronavirus	compound	measures	[]	['coronavirus']
measures	nsubjpass	withdrawn	['all', 'coronavirus']	['almost', 'all', 'coronavirus', 'measures']
will	aux	withdrawn	[]	['will']
be	auxpass	withdrawn	[]	['be']
withdrawn	ccomp	expects	['that', 'measures', 'will', 'be', 'in', 'Friday']	['that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday']
in	prep	withdrawn	['Belgium']	['in', 'Belgium']
Belgium	pobj	in	[]	['Belgium']
next	amod	Friday	[]	['next']
Friday	npadvmod	withdrawn	['next']	['next', 'Friday']
.	punct	expects	[]	['.']
