,token,nature,head,nr_of_dependents,constituent_of_head,constituency_paths
487,be,VERB,is,4,"['that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible']","['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'S', 'VP', 'NP', 'NNS']"
488,possible,OTH,be,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'VP', 'MD']"
489,.,OTH,said,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
491,Cabinet,MOD,ministers,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'VP', 'VP', 'ADJP', 'JJ']"
492,ministers,OTH,met,1,"['Cabinet', 'ministers']","['S', '.']"
493,met,VERB,met,6,"['Cabinet', 'ministers', 'met', 'for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy', 'on', 'Wednesday', 'morning', ',', 'and', 'the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']","['S', 'S', 'NP', 'NN']"
494,for,PREP,met,1,"['for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']","['S', 'S', 'NP', 'NNS']"
495,an,OTH,meeting,0,NOT_HEAD,"['S', 'S', 'VP', 'VBD']"
496,extra,MOD,meeting,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'IN']"
497,meeting,OTH,for,3,"['an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']","['S', 'S', 'VP', 'PP', 'NP', 'NP', 'DT']"
498,about,PREP,meeting,1,"['about', 'the', 'coronavirus', 'policy']","['S', 'S', 'VP', 'PP', 'NP', 'NP', 'JJ']"
499,the,OTH,policy,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'NP', 'NN']"
500,coronavirus,MOD,policy,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'IN']"
501,policy,OTH,about,2,"['the', 'coronavirus', 'policy']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'DT']"
502,on,PREP,met,1,"['on', 'Wednesday', 'morning']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NN']"
503,Wednesday,MOD,morning,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NN']"
504,morning,OTH,on,1,"['Wednesday', 'morning']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'IN']"
505,",",OTH,met,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
506,and,OTH,met,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NN']"
507,the,OTH,OMT,0,NOT_HEAD,"['S', ',']"
508,OMT,OTH,meet,1,"['the', 'OMT']","['S', 'CC']"
509,will,OTH,meet,0,NOT_HEAD,"['S', 'S', 'NP', 'DT']"
510,meet,OTH,met,5,"['the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']","['S', 'S', 'NP', 'NNP']"
511,again,TUN,meet,0,NOT_HEAD,"['S', 'S', 'VP', 'MD']"
512,to,OTH,discuss,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VB']"
513,discuss,MOD,meet,3,"['to', 'discuss', 'the', 'issue', 'on', 'Friday']","['S', 'S', 'VP', 'VP', 'ADVP', 'RB']"
514,the,OTH,issue,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'TO']"
515,issue,OTH,discuss,1,"['the', 'issue']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
516,on,PREP,discuss,1,"['on', 'Friday']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'DT']"
517,Friday,OTH,on,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
518,.,OTH,meet,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
520,Rutte,OTH,said,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NNP']"
521,said,VERB,said,2,"""['Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend', ',', '""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']""","['S', '.']"
522,the,OTH,Cabinet,0,NOT_HEAD,"['S', 'S', 'NP', 'NNP']"
523,Cabinet,OTH,inform,1,"['the', 'Cabinet']","['S', 'S', 'VP', 'VBD']"
524,could,OTH,inform,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'NP', 'DT']"
525,inform,VERB,said,6,"""['the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend', ',', '""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']""","['S', 'S', 'VP', 'SBAR', 'S', 'NP', 'NNP']"
526,the,OTH,Kamer,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'MD']"
527,Tweede,MOD,Kamer,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
528,Kamer,OTH,inform,2,"['the', 'Tweede', 'Kamer']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'DT']"
529,about,PREP,inform,1,"""['about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend']""","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'NNP']"
530,what,OTH,considering,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'NNP']"
531,it,OTH,considering,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'IN']"
532,'s,OTH,considering,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'WHNP', 'WP']"
533,considering,VERB,about,3,"""['what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend']""","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'NP', 'PRP']"
534,even,TUN,before,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VBZ']"
535,before,PREP,considering,2,"['even', 'before', 'the', 'weekend']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'VBG']"
536,the,OTH,weekend,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'ADVP', 'RB']"
537,weekend,OTH,before,1,"['the', 'weekend']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'IN']"
538,",",OTH,inform,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'DT']"
539,"""",OTH,sort,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
540,a,OTH,sort,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', ',']"
541,sort,OTH,inform,3,"""['""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']""","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', '``']"
542,of,PREP,sort,1,"""['of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']""","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NP', 'DT']"
543,',OTH,of,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NP', 'NN']"
544,what,OTH,be,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'PP', 'IN']"
545,could,OTH,be,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'PP', 'NP', '``']"
546,be,VERB,of,3,"""['what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']""","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'WHNP', 'WP']"
547,',OTH,package,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'MD']"
548,package,OTH,be,2,"""[""""'"""", 'package', '""""', 'of', 'measures']""","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
549,"""",OTH,package,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', '``']"
550,of,PREP,package,1,"['of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'NP', 'NN']"
551,measures,OTH,of,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'PP', ""''""]"
552,",",OTH,said,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'PP', 'PP', 'IN']"
553,he,OTH,said,0,NOT_HEAD,"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'PP', 'PP', 'NP', 'NNS']"
554,said,VERB,said,4,"""['Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend', ',', '""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures', ',', 'he', 'said', '.']""","['S', ',']"
555,.,OTH,said,0,NOT_HEAD,"['S', 'NP', 'PRP']"
557,In,PREP,have,1,"['In', 'addition']","['S', 'VP', 'VBD']"
558,addition,OTH,In,0,NOT_HEAD,"['S', '.']"
559,",",OTH,have,0,NOT_HEAD,"['S', 'PP', 'IN']"
560,the,OTH,Cabinet,0,NOT_HEAD,"['S', 'PP', 'NP', 'NN']"
561,Cabinet,OTH,have,1,"['the', 'Cabinet']","['S', ',']"
562,will,OTH,have,0,NOT_HEAD,"['S', 'NP', 'DT']"
563,have,VERB,have,8,"['In', 'addition', ',', 'the', 'Cabinet', 'will', 'have', 'to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal', '.']","['S', 'NP', 'NNP']"
564,to,OTH,make,0,NOT_HEAD,"['S', 'VP', 'MD']"
565,make,VERB,have,2,"['to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']","['S', 'VP', 'VP', 'VB']"
566,it,OTH,clear,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'TO']"
567,clear,VERB,make,2,"['it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
568,that,OTH,implemented,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'NP', 'NP', 'PRP']"
569,all,OTH,relaxations,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'ADJP', 'JJ']"
570,these,OTH,relaxations,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'IN']"
571,relaxations,OTH,implemented,2,"['all', 'these', 'relaxations']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'NP', 'PDT']"
572,may,OTH,implemented,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'NP', 'DT']"
573,not,INV,implemented,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'NP', 'NNS']"
574,be,OTH,implemented,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'MD']"
575,implemented,MOD,clear,5,"['that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'RB']"
576,",",OTH,have,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'VP', 'VB']"
577,particularly,TUN,sees,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
578,if,OTH,sees,0,NOT_HEAD,"['S', 'VP', 'VP', ',']"
579,the,OTH,OMT,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'ADVP', 'RB']"
580,OMT,OTH,sees,1,"['the', 'OMT']","['S', 'VP', 'VP', 'SBAR', 'IN']"
581,sees,MOD,have,4,"['particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'DT']"
582,a,OTH,problem,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NNP']"
583,problem,OTH,sees,2,"['a', 'problem', 'with', 'the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
584,with,PREP,problem,1,"['with', 'the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'NP', 'DT']"
585,the,OTH,proposal,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'NP', 'NN']"
586,proposal,OTH,with,1,"['the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'PP', 'IN']"
587,.,OTH,have,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'DT']"
589,Anything,OTH,taken,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'NN']"
590,taken,VERB,made,4,"['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim']","['S', '.']"
591,off,OTH,taken,0,NOT_HEAD,"['S', 'NP', 'NP', 'NN']"
592,the,OTH,table,0,NOT_HEAD,"['S', 'NP', 'VP', 'VBN']"
593,table,OTH,taken,1,"['the', 'table']","['S', 'NP', 'VP', 'PRT', 'IN']"
594,in,PREP,taken,1,"['in', 'the', 'interim']","['S', 'NP', 'VP', 'NP', 'DT']"
595,the,OTH,interim,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', 'NN']"
596,interim,OTH,in,1,"['the', 'interim']","['S', 'NP', 'VP', 'PP', 'IN']"
597,will,OTH,made,0,NOT_HEAD,"['S', 'NP', 'VP', 'PP', 'NP', 'DT']"
598,be,OTH,made,0,NOT_HEAD,"['S', 'NP', 'VP', 'PP', 'NP', 'NN']"
599,made,VERB,made,6,"['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim', 'will', 'be', 'made', 'clear', 'on', 'Tuesday', '.']","['S', 'VP', 'MD']"
600,clear,OTH,made,0,NOT_HEAD,"['S', 'VP', 'VP', 'VB']"
601,on,PREP,made,1,"['on', 'Tuesday']","['S', 'VP', 'VP', 'VP', 'VBN']"
602,Tuesday,OTH,on,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'S', 'ADJP', 'JJ']"
603,.,OTH,made,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
605,Far,TUN,reaching,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
606,-,OTH,reaching,0,NOT_HEAD,"['S', '.']"
607,reaching,MOD,elimination,2,"['Far', '-', 'reaching']","['S', 'NP', 'NP', 'JJ']"
608,elimination,OTH,announced,2,"['Far', '-', 'reaching', 'elimination', 'of', 'restrictions']","['S', 'NP', 'NP', 'NN']"
609,of,PREP,elimination,1,"['of', 'restrictions']","['S', 'NP', 'PP', 'IN']"
610,restrictions,OTH,of,0,NOT_HEAD,"['S', 'NP', 'PP', 'NP', 'NNS']"
611,will,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'MD']"
612,also,TUN,announced,0,NOT_HEAD,"['S', 'VP', 'ADVP', 'RB']"
613,be,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'VP', 'VB']"
614,announced,VERB,announced,6,"['Far', '-', 'reaching', 'elimination', 'of', 'restrictions', 'will', 'also', 'be', 'announced', 'in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days', '.']","['S', 'VP', 'VP', 'VP', 'VBN']"
615,in,PREP,announced,1,"['in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
616,other,MOD,countries,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'JJ']"
617,European,MOD,countries,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'JJ']"
618,countries,OTH,in,3,"['other', 'European', 'countries', 'in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
619,in,PREP,countries,1,"['in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
620,the,OTH,days,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
621,coming,MOD,days,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'VBG']"
622,days,OTH,in,2,"['the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
623,.,OTH,announced,0,NOT_HEAD,"['S', '.']"
625,For,PREP,expects,1,"['For', 'example']","['S', 'PP', 'IN']"
626,example,OTH,For,0,NOT_HEAD,"['S', 'PP', 'NP', 'NN']"
627,",",OTH,expects,0,NOT_HEAD,"['S', ',']"
628,the,OTH,minister,0,NOT_HEAD,"['S', 'NP', 'NP', 'DT']"
629,Belgian,MOD,minister,0,NOT_HEAD,"['S', 'NP', 'NP', 'JJ']"
630,minister,OTH,expects,6,"['the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',']","['S', 'NP', 'NP', 'NN']"
631,handling,MOD,minister,1,"['handling', 'coronavirus', 'issues']","['S', 'NP', 'VP', 'VBG']"
632,coronavirus,MOD,issues,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', 'NP', 'NN']"
633,issues,OTH,handling,1,"['coronavirus', 'issues']","['S', 'NP', 'VP', 'NP', 'NP', 'NNS']"
634,",",OTH,minister,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', ',']"
635,Frank,MOD,Vandenbroucke,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', 'NP', 'NNP']"
636,Vandenbroucke,MOD,minister,1,"['Frank', 'Vandenbroucke']","['S', 'NP', 'VP', 'NP', 'NP', 'NNP']"
637,",",OTH,minister,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', ',']"
638,expects,VERB,expects,5,"['For', 'example', ',', 'the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',', 'expects', 'that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday', '.']","['S', 'VP', 'VBZ']"
639,that,OTH,withdrawn,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'IN']"
640,almost,TUN,all,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'NP', 'QP', 'RB']"
641,all,MOD,measures,1,"['almost', 'all']","['S', 'VP', 'SBAR', 'S', 'NP', 'QP', 'DT']"
642,coronavirus,MOD,measures,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'NP', 'NN']"
643,measures,OTH,withdrawn,2,"['almost', 'all', 'coronavirus', 'measures']","['S', 'VP', 'SBAR', 'S', 'NP', 'NNS']"
644,will,OTH,withdrawn,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'MD']"
645,be,OTH,withdrawn,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
646,withdrawn,VERB,expects,6,"['that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
647,in,PREP,withdrawn,1,"['in', 'Belgium']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
648,Belgium,OTH,in,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
649,next,MOD,Friday,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'NP', 'JJ']"
650,Friday,OTH,withdrawn,1,"['next', 'Friday']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'NP', 'NNP']"
651,.,OTH,expects,0,NOT_HEAD,"['S', '.']"
